date,source,segment,customer_id,dealership_location,vehicle_type,product_area,rating,feedback
2026-01-27,Facebook,Repeat Customer,DLR-CUST-10183,Downtown Auto Mall,EV,Communication,5,Everyone followed up quickly and kept me informed during the purchase.
2026-01-28,Google Reviews,Repeat Customer,DLR-CUST-10184,Northside Motors,SUV,Communication,2,I received too many calls after asking to communicate by email only.
2026-01-29,Dealer Website,Repeat Customer,DLR-CUST-10185,Northside Motors,EV,Communication,3,Communication was polite but inconsistent between sales and finance.
2026-01-30,Service Survey,Luxury Buyer,DLR-CUST-10186,Northside Motors,Truck,Communication,1,Nobody returned my voicemail about a warranty question.
2026-01-31,Cars.com,Luxury Buyer,DLR-CUST-10187,West Valley Cars,Luxury SUV,Warranty,4,The warranty options were explained clearly without pressure.
2026-02-01,Facebook,Luxury Buyer,DLR-CUST-10188,West Valley Cars,Certified Pre-Owned,Warranty,2,I was not told which warranty items were optional until the final paperwork.
2026-02-02,Google Reviews,Luxury Buyer,DLR-CUST-10189,West Valley Cars,Van,Warranty,3,"Coverage seems good, but the exclusions should be easier to read."
2026-02-03,Email Survey,Luxury Buyer,DLR-CUST-10190,Lakeside Dealership,Truck,Cleanliness,5,The showroom was clean and the vehicle was spotless at pickup.
2026-02-04,Cars.com,Budget Buyer,DLR-CUST-10191,Lakeside Dealership,Sedan,Cleanliness,2,The used vehicle still had stains inside when I came for delivery.
2026-02-05,Facebook,Budget Buyer,DLR-CUST-10192,Lakeside Dealership,Truck,Cleanliness,3,"The showroom was nice, but the service waiting area needs more seating."
2026-02-06,Cars.com,Budget Buyer,DLR-CUST-10193,Airport Auto Center,Hybrid,Customer Support,4,The receptionist quickly connected me to the right department.
2026-02-07,Facebook,Budget Buyer,DLR-CUST-10194,Airport Auto Center,EV,Customer Support,2,I was transferred three times before someone could answer my question.
2026-02-08,Google Reviews,Budget Buyer,DLR-CUST-10195,Airport Auto Center,EV,Customer Support,1,The support line disconnected twice while I was checking service status.
2026-02-09,Dealer Website,Fleet Customer,DLR-CUST-10196,Downtown Auto Mall,Luxury SUV,Customer Support,3,"Staff were friendly, but follow-up after purchase could be more proactive."
2026-02-10,Service Survey,Fleet Customer,DLR-CUST-10197,Downtown Auto Mall,SUV,Sales Experience,5,The sales advisor listened carefully and helped me compare trims without pressure.
2026-02-11,Phone Follow-up,Fleet Customer,DLR-CUST-10198,Downtown Auto Mall,Van,Sales Experience,2,The salesperson kept pushing add-ons after I said I was not interested.
2026-02-12,Email Survey,Fleet Customer,DLR-CUST-10199,Northside Motors,SUV,Sales Experience,3,"The test drive was helpful, but I waited too long before someone greeted me."
2026-02-13,Cars.com,Fleet Customer,DLR-CUST-10200,Northside Motors,EV,Sales Experience,4,The team explained the vehicle features clearly and made the buying process simple.
2026-02-14,Facebook,Service Customer,DLR-CUST-10201,Northside Motors,Truck,Financing,2,The final monthly payment was higher than what was discussed online.
2026-02-15,Google Reviews,Service Customer,DLR-CUST-10202,West Valley Cars,Truck,Financing,1,Finance paperwork took almost three hours and several fees were not explained.
2026-02-16,Dealer Website,Service Customer,DLR-CUST-10203,West Valley Cars,Luxury SUV,Financing,4,The finance manager found a better rate than my bank and explained the terms well.
2026-02-17,Service Survey,Service Customer,DLR-CUST-10204,West Valley Cars,Luxury SUV,Financing,3,"Loan options were presented clearly, but the wait for approval was too long."
2026-02-18,Dealer Website,Service Customer,DLR-CUST-10205,Lakeside Dealership,Luxury SUV,Pricing,2,The advertised price did not include mandatory dealer add-ons.
2026-02-19,Service Survey,Trade-in Customer,DLR-CUST-10206,Lakeside Dealership,Luxury SUV,Pricing,1,I felt misled by the online price because the quote changed at the dealership.
2026-02-20,Phone Follow-up,Trade-in Customer,DLR-CUST-10207,Lakeside Dealership,Truck,Pricing,4,The price was fair and the final invoice matched the quote.
2026-02-21,Email Survey,Trade-in Customer,DLR-CUST-10208,Airport Auto Center,Truck,Pricing,3,"Discounts were good, but the fee breakdown should be easier to understand."
2026-02-22,Google Reviews,Trade-in Customer,DLR-CUST-10209,Airport Auto Center,Truck,Inventory,2,The car listed online was already sold when I arrived for my appointment.
2026-02-23,Dealer Website,Trade-in Customer,DLR-CUST-10210,Airport Auto Center,Hybrid,Inventory,3,Inventory filters on the website are useful but some colors are listed incorrectly.
2026-02-24,Service Survey,First-time Buyer,DLR-CUST-10211,Downtown Auto Mall,Luxury SUV,Inventory,4,They had several trims available and helped me find the right configuration.
2026-02-25,Phone Follow-up,First-time Buyer,DLR-CUST-10212,Downtown Auto Mall,Hybrid,Inventory,1,I drove across town for a vehicle that was marked available but unavailable in store.
2026-02-26,Phone Follow-up,First-time Buyer,DLR-CUST-10213,Downtown Auto Mall,Luxury SUV,Trade-in,2,The trade-in offer was much lower than the estimate I received online.
2026-02-27,Email Survey,First-time Buyer,DLR-CUST-10214,Northside Motors,SUV,Trade-in,4,The appraisal was quick and the trade-in credit was clearly applied to my purchase.
2026-02-28,Cars.com,First-time Buyer,DLR-CUST-10215,Northside Motors,SUV,Trade-in,3,"Trade-in inspection was fair, but I wanted more explanation about the valuation."
2026-03-01,Facebook,Repeat Customer,DLR-CUST-10216,Northside Motors,Sedan,Trade-in,1,My trade-in quote changed twice during the same visit.
2026-03-02,Phone Follow-up,Repeat Customer,DLR-CUST-10217,West Valley Cars,Certified Pre-Owned,Service Department,5,Service was fast and the advisor sent updates while my car was being repaired.
2026-03-03,Email Survey,Repeat Customer,DLR-CUST-10218,West Valley Cars,EV,Service Department,2,The repair took two days longer than promised and nobody called me.
2026-03-04,Cars.com,Repeat Customer,DLR-CUST-10219,West Valley Cars,Certified Pre-Owned,Service Department,3,"The oil change was fine, but the waiting area was overcrowded."
2026-03-05,Facebook,Repeat Customer,DLR-CUST-10220,Lakeside Dealership,Hybrid,Service Department,1,The same warning light came back the day after service.
2026-03-06,Dealer Website,Luxury Buyer,DLR-CUST-10221,Lakeside Dealership,Luxury SUV,Parts,2,The replacement part was delayed and I had to call multiple times for updates.
2026-03-07,Service Survey,Luxury Buyer,DLR-CUST-10222,Lakeside Dealership,SUV,Parts,4,Parts staff found the correct accessory and installed it the same afternoon.
2026-03-08,Phone Follow-up,Luxury Buyer,DLR-CUST-10223,Airport Auto Center,SUV,Parts,3,"The part arrived on time, but the installation appointment was hard to schedule."
2026-03-09,Google Reviews,Luxury Buyer,DLR-CUST-10224,Airport Auto Center,Hybrid,Delivery,5,Home delivery was smooth and the specialist walked me through the vehicle settings.
2026-03-10,Dealer Website,Luxury Buyer,DLR-CUST-10225,Airport Auto Center,Truck,Delivery,2,The vehicle was delivered with low tire pressure and no floor mats.
2026-03-11,Service Survey,Budget Buyer,DLR-CUST-10226,Downtown Auto Mall,Hybrid,Delivery,3,"Pickup was organized, but the final detailing could have been better."
2026-03-12,Phone Follow-up,Budget Buyer,DLR-CUST-10227,Downtown Auto Mall,EV,Delivery,1,The delivery appointment was missed and I had to reschedule twice.
2026-03-13,Phone Follow-up,Budget Buyer,DLR-CUST-10228,Downtown Auto Mall,Van,Website,4,The website made it easy to compare vehicles and calculate estimated payments.
2026-03-14,Email Survey,Budget Buyer,DLR-CUST-10229,Northside Motors,Luxury SUV,Website,2,The payment calculator does not match the numbers provided by finance.
2026-03-15,Cars.com,Budget Buyer,DLR-CUST-10230,Northside Motors,Sedan,Website,3,"Online chat answered basic questions, but could not confirm real inventory."
2026-03-16,Facebook,Fleet Customer,DLR-CUST-10231,Northside Motors,Van,Website,1,I submitted a lead form and never received a response.
2026-03-17,Facebook,Fleet Customer,DLR-CUST-10232,West Valley Cars,Hybrid,Communication,5,Everyone followed up quickly and kept me informed during the purchase.
2026-03-18,Google Reviews,Fleet Customer,DLR-CUST-10233,West Valley Cars,Truck,Communication,2,I received too many calls after asking to communicate by email only.
2026-03-19,Dealer Website,Fleet Customer,DLR-CUST-10234,West Valley Cars,Hybrid,Communication,3,Communication was polite but inconsistent between sales and finance.
2026-03-20,Service Survey,Fleet Customer,DLR-CUST-10235,Lakeside Dealership,EV,Communication,1,Nobody returned my voicemail about a warranty question.
2026-03-21,Cars.com,Service Customer,DLR-CUST-10236,Lakeside Dealership,Van,Warranty,4,The warranty options were explained clearly without pressure.
2026-03-22,Facebook,Service Customer,DLR-CUST-10237,Lakeside Dealership,Luxury SUV,Warranty,2,I was not told which warranty items were optional until the final paperwork.
2026-03-23,Google Reviews,Service Customer,DLR-CUST-10238,Airport Auto Center,Sedan,Warranty,3,"Coverage seems good, but the exclusions should be easier to read."
2026-03-24,Email Survey,Service Customer,DLR-CUST-10239,Airport Auto Center,EV,Cleanliness,5,The showroom was clean and the vehicle was spotless at pickup.
2026-03-25,Cars.com,Service Customer,DLR-CUST-10240,Airport Auto Center,SUV,Cleanliness,2,The used vehicle still had stains inside when I came for delivery.
2026-03-26,Facebook,Trade-in Customer,DLR-CUST-10241,Downtown Auto Mall,EV,Cleanliness,3,"The showroom was nice, but the service waiting area needs more seating."
2026-03-27,Cars.com,Trade-in Customer,DLR-CUST-10242,Downtown Auto Mall,Certified Pre-Owned,Customer Support,4,The receptionist quickly connected me to the right department.
2026-03-28,Facebook,Trade-in Customer,DLR-CUST-10243,Downtown Auto Mall,Hybrid,Customer Support,2,I was transferred three times before someone could answer my question.
2026-03-29,Google Reviews,Trade-in Customer,DLR-CUST-10244,Northside Motors,Hybrid,Customer Support,1,The support line disconnected twice while I was checking service status.
2026-03-30,Dealer Website,Trade-in Customer,DLR-CUST-10245,Northside Motors,Van,Customer Support,3,"Staff were friendly, but follow-up after purchase could be more proactive."
2026-03-31,Service Survey,First-time Buyer,DLR-CUST-10246,Northside Motors,Truck,Sales Experience,5,The sales advisor listened carefully and helped me compare trims without pressure.
2026-04-01,Phone Follow-up,First-time Buyer,DLR-CUST-10247,West Valley Cars,Sedan,Sales Experience,2,The salesperson kept pushing add-ons after I said I was not interested.
2026-04-02,Email Survey,First-time Buyer,DLR-CUST-10248,West Valley Cars,Truck,Sales Experience,3,"The test drive was helpful, but I waited too long before someone greeted me."
2026-04-03,Cars.com,First-time Buyer,DLR-CUST-10249,West Valley Cars,Hybrid,Sales Experience,4,The team explained the vehicle features clearly and made the buying process simple.
2026-04-04,Facebook,First-time Buyer,DLR-CUST-10250,Lakeside Dealership,EV,Financing,2,The final monthly payment was higher than what was discussed online.
2026-04-05,Google Reviews,Repeat Customer,DLR-CUST-10251,Lakeside Dealership,EV,Financing,1,Finance paperwork took almost three hours and several fees were not explained.
2026-04-06,Dealer Website,Repeat Customer,DLR-CUST-10252,Lakeside Dealership,Van,Financing,4,The finance manager found a better rate than my bank and explained the terms well.
2026-04-07,Service Survey,Repeat Customer,DLR-CUST-10253,Airport Auto Center,Van,Financing,3,"Loan options were presented clearly, but the wait for approval was too long."
2026-04-08,Dealer Website,Repeat Customer,DLR-CUST-10254,Airport Auto Center,Van,Pricing,2,The advertised price did not include mandatory dealer add-ons.
2026-04-09,Service Survey,Repeat Customer,DLR-CUST-10255,Airport Auto Center,Van,Pricing,1,I felt misled by the online price because the quote changed at the dealership.
2026-04-10,Phone Follow-up,Luxury Buyer,DLR-CUST-10256,Downtown Auto Mall,EV,Pricing,4,The price was fair and the final invoice matched the quote.
2026-04-11,Email Survey,Luxury Buyer,DLR-CUST-10257,Downtown Auto Mall,EV,Pricing,3,"Discounts were good, but the fee breakdown should be easier to understand."
2026-04-12,Google Reviews,Luxury Buyer,DLR-CUST-10258,Downtown Auto Mall,EV,Inventory,2,The car listed online was already sold when I arrived for my appointment.
2026-04-13,Dealer Website,Luxury Buyer,DLR-CUST-10259,Northside Motors,Certified Pre-Owned,Inventory,3,Inventory filters on the website are useful but some colors are listed incorrectly.
2026-04-14,Service Survey,Luxury Buyer,DLR-CUST-10260,Northside Motors,Van,Inventory,4,They had several trims available and helped me find the right configuration.
2026-04-15,Phone Follow-up,Budget Buyer,DLR-CUST-10261,Northside Motors,Certified Pre-Owned,Inventory,1,I drove across town for a vehicle that was marked available but unavailable in store.
2026-04-16,Phone Follow-up,Budget Buyer,DLR-CUST-10262,West Valley Cars,Van,Trade-in,2,The trade-in offer was much lower than the estimate I received online.
2026-04-17,Email Survey,Budget Buyer,DLR-CUST-10263,West Valley Cars,Truck,Trade-in,4,The appraisal was quick and the trade-in credit was clearly applied to my purchase.
2026-04-18,Cars.com,Budget Buyer,DLR-CUST-10264,West Valley Cars,Truck,Trade-in,3,"Trade-in inspection was fair, but I wanted more explanation about the valuation."
2026-04-19,Facebook,Budget Buyer,DLR-CUST-10265,Lakeside Dealership,SUV,Trade-in,1,My trade-in quote changed twice during the same visit.
2026-04-20,Phone Follow-up,Fleet Customer,DLR-CUST-10266,Lakeside Dealership,Luxury SUV,Service Department,5,Service was fast and the advisor sent updates while my car was being repaired.
2026-04-21,Email Survey,Fleet Customer,DLR-CUST-10267,Lakeside Dealership,Hybrid,Service Department,2,The repair took two days longer than promised and nobody called me.
2026-04-22,Cars.com,Fleet Customer,DLR-CUST-10268,Airport Auto Center,Luxury SUV,Service Department,3,"The oil change was fine, but the waiting area was overcrowded."
2026-04-23,Facebook,Fleet Customer,DLR-CUST-10269,Airport Auto Center,Certified Pre-Owned,Service Department,1,The same warning light came back the day after service.
2026-04-24,Dealer Website,Fleet Customer,DLR-CUST-10270,Airport Auto Center,Van,Parts,2,The replacement part was delayed and I had to call multiple times for updates.
2026-04-25,Service Survey,Service Customer,DLR-CUST-10271,Downtown Auto Mall,Truck,Parts,4,Parts staff found the correct accessory and installed it the same afternoon.
2026-04-26,Phone Follow-up,Service Customer,DLR-CUST-10272,Downtown Auto Mall,Truck,Parts,3,"The part arrived on time, but the installation appointment was hard to schedule."
2026-04-27,Google Reviews,Service Customer,DLR-CUST-10273,Downtown Auto Mall,Certified Pre-Owned,Delivery,5,Home delivery was smooth and the specialist walked me through the vehicle settings.
2026-04-28,Dealer Website,Service Customer,DLR-CUST-10274,Northside Motors,EV,Delivery,2,The vehicle was delivered with low tire pressure and no floor mats.
2026-04-29,Service Survey,Service Customer,DLR-CUST-10275,Northside Motors,Certified Pre-Owned,Delivery,3,"Pickup was organized, but the final detailing could have been better."
2026-04-30,Phone Follow-up,Trade-in Customer,DLR-CUST-10276,Northside Motors,Hybrid,Delivery,1,The delivery appointment was missed and I had to reschedule twice.
2026-05-01,Phone Follow-up,Trade-in Customer,DLR-CUST-10277,West Valley Cars,Sedan,Website,4,The website made it easy to compare vehicles and calculate estimated payments.
2026-05-02,Email Survey,Trade-in Customer,DLR-CUST-10278,West Valley Cars,Van,Website,2,The payment calculator does not match the numbers provided by finance.
2026-05-03,Cars.com,Trade-in Customer,DLR-CUST-10279,West Valley Cars,SUV,Website,3,"Online chat answered basic questions, but could not confirm real inventory."
2026-05-04,Facebook,Trade-in Customer,DLR-CUST-10280,Lakeside Dealership,Sedan,Website,1,I submitted a lead form and never received a response.
2026-05-05,Facebook,First-time Buyer,DLR-CUST-10281,Lakeside Dealership,Certified Pre-Owned,Communication,5,Everyone followed up quickly and kept me informed during the purchase.
2026-05-06,Google Reviews,First-time Buyer,DLR-CUST-10282,Lakeside Dealership,EV,Communication,2,I received too many calls after asking to communicate by email only.
2026-05-07,Dealer Website,First-time Buyer,DLR-CUST-10283,Airport Auto Center,Certified Pre-Owned,Communication,3,Communication was polite but inconsistent between sales and finance.
2026-05-08,Service Survey,First-time Buyer,DLR-CUST-10284,Airport Auto Center,Hybrid,Communication,1,Nobody returned my voicemail about a warranty question.
2026-05-09,Cars.com,First-time Buyer,DLR-CUST-10285,Airport Auto Center,Sedan,Warranty,4,The warranty options were explained clearly without pressure.
2026-05-10,Facebook,Repeat Customer,DLR-CUST-10286,Downtown Auto Mall,Van,Warranty,2,I was not told which warranty items were optional until the final paperwork.
2026-05-11,Google Reviews,Repeat Customer,DLR-CUST-10287,Downtown Auto Mall,SUV,Warranty,3,"Coverage seems good, but the exclusions should be easier to read."
2026-05-12,Email Survey,Repeat Customer,DLR-CUST-10288,Downtown Auto Mall,Hybrid,Cleanliness,5,The showroom was clean and the vehicle was spotless at pickup.
2026-05-13,Cars.com,Repeat Customer,DLR-CUST-10289,Northside Motors,Truck,Cleanliness,2,The used vehicle still had stains inside when I came for delivery.
2026-05-14,Facebook,Repeat Customer,DLR-CUST-10290,Northside Motors,Hybrid,Cleanliness,3,"The showroom was nice, but the service waiting area needs more seating."
2026-05-15,Cars.com,Luxury Buyer,DLR-CUST-10291,Northside Motors,Luxury SUV,Customer Support,4,The receptionist quickly connected me to the right department.
2026-05-16,Facebook,Luxury Buyer,DLR-CUST-10292,West Valley Cars,Certified Pre-Owned,Customer Support,2,I was transferred three times before someone could answer my question.
2026-05-17,Google Reviews,Luxury Buyer,DLR-CUST-10293,West Valley Cars,Certified Pre-Owned,Customer Support,1,The support line disconnected twice while I was checking service status.
2026-05-18,Dealer Website,Luxury Buyer,DLR-CUST-10294,West Valley Cars,Sedan,Customer Support,3,"Staff were friendly, but follow-up after purchase could be more proactive."
2026-05-19,Service Survey,Luxury Buyer,DLR-CUST-10295,Lakeside Dealership,EV,Sales Experience,5,The sales advisor listened carefully and helped me compare trims without pressure.
2026-05-20,Phone Follow-up,Budget Buyer,DLR-CUST-10296,Lakeside Dealership,SUV,Sales Experience,2,The salesperson kept pushing add-ons after I said I was not interested.
2026-05-21,Email Survey,Budget Buyer,DLR-CUST-10297,Lakeside Dealership,EV,Sales Experience,3,"The test drive was helpful, but I waited too long before someone greeted me."
2026-05-22,Cars.com,Budget Buyer,DLR-CUST-10298,Airport Auto Center,Certified Pre-Owned,Sales Experience,4,The team explained the vehicle features clearly and made the buying process simple.
2026-05-23,Facebook,Budget Buyer,DLR-CUST-10299,Airport Auto Center,Hybrid,Financing,2,The final monthly payment was higher than what was discussed online.
2026-05-24,Google Reviews,Budget Buyer,DLR-CUST-10300,Airport Auto Center,Hybrid,Financing,1,Finance paperwork took almost three hours and several fees were not explained.
2026-05-25,Dealer Website,Fleet Customer,DLR-CUST-10301,Downtown Auto Mall,Sedan,Financing,4,The finance manager found a better rate than my bank and explained the terms well.
2026-05-26,Service Survey,Fleet Customer,DLR-CUST-10302,Downtown Auto Mall,Sedan,Financing,3,"Loan options were presented clearly, but the wait for approval was too long."
2026-05-27,Dealer Website,Fleet Customer,DLR-CUST-10303,Downtown Auto Mall,Sedan,Pricing,2,The advertised price did not include mandatory dealer add-ons.
2026-05-28,Service Survey,Fleet Customer,DLR-CUST-10304,Northside Motors,Sedan,Pricing,1,I felt misled by the online price because the quote changed at the dealership.
2026-05-29,Phone Follow-up,Fleet Customer,DLR-CUST-10305,Northside Motors,Hybrid,Pricing,4,The price was fair and the final invoice matched the quote.
2026-05-30,Email Survey,Service Customer,DLR-CUST-10306,Northside Motors,Hybrid,Pricing,3,"Discounts were good, but the fee breakdown should be easier to understand."
2026-05-31,Google Reviews,Service Customer,DLR-CUST-10307,West Valley Cars,Hybrid,Inventory,2,The car listed online was already sold when I arrived for my appointment.
2026-06-01,Dealer Website,Service Customer,DLR-CUST-10308,West Valley Cars,Luxury SUV,Inventory,3,Inventory filters on the website are useful but some colors are listed incorrectly.
2026-06-02,Service Survey,Service Customer,DLR-CUST-10309,West Valley Cars,Sedan,Inventory,4,They had several trims available and helped me find the right configuration.
2026-06-03,Phone Follow-up,Service Customer,DLR-CUST-10310,Lakeside Dealership,Luxury SUV,Inventory,1,I drove across town for a vehicle that was marked available but unavailable in store.
2026-06-04,Phone Follow-up,Trade-in Customer,DLR-CUST-10311,Lakeside Dealership,Sedan,Trade-in,2,The trade-in offer was much lower than the estimate I received online.
2026-06-05,Email Survey,Trade-in Customer,DLR-CUST-10312,Lakeside Dealership,EV,Trade-in,4,The appraisal was quick and the trade-in credit was clearly applied to my purchase.
2026-01-01,Cars.com,Trade-in Customer,DLR-CUST-10313,Airport Auto Center,EV,Trade-in,3,"Trade-in inspection was fair, but I wanted more explanation about the valuation."
2026-01-02,Facebook,Trade-in Customer,DLR-CUST-10314,Airport Auto Center,Truck,Trade-in,1,My trade-in quote changed twice during the same visit.
2026-01-03,Phone Follow-up,Trade-in Customer,DLR-CUST-10315,Airport Auto Center,Van,Service Department,5,Service was fast and the advisor sent updates while my car was being repaired.
2026-01-04,Email Survey,First-time Buyer,DLR-CUST-10316,Downtown Auto Mall,Certified Pre-Owned,Service Department,2,The repair took two days longer than promised and nobody called me.
2026-01-05,Cars.com,First-time Buyer,DLR-CUST-10317,Downtown Auto Mall,Van,Service Department,3,"The oil change was fine, but the waiting area was overcrowded."
2026-01-06,Facebook,First-time Buyer,DLR-CUST-10318,Downtown Auto Mall,Luxury SUV,Service Department,1,The same warning light came back the day after service.
2026-01-07,Dealer Website,First-time Buyer,DLR-CUST-10319,Northside Motors,Sedan,Parts,2,The replacement part was delayed and I had to call multiple times for updates.
2026-01-08,Service Survey,First-time Buyer,DLR-CUST-10320,Northside Motors,EV,Parts,4,Parts staff found the correct accessory and installed it the same afternoon.
2026-01-09,Phone Follow-up,Repeat Customer,DLR-CUST-10321,Northside Motors,EV,Parts,3,"The part arrived on time, but the installation appointment was hard to schedule."
2026-01-10,Google Reviews,Repeat Customer,DLR-CUST-10322,West Valley Cars,Luxury SUV,Delivery,5,Home delivery was smooth and the specialist walked me through the vehicle settings.
2026-01-11,Dealer Website,Repeat Customer,DLR-CUST-10323,West Valley Cars,Hybrid,Delivery,2,The vehicle was delivered with low tire pressure and no floor mats.
2026-01-12,Service Survey,Repeat Customer,DLR-CUST-10324,West Valley Cars,Luxury SUV,Delivery,3,"Pickup was organized, but the final detailing could have been better."
2026-01-13,Phone Follow-up,Repeat Customer,DLR-CUST-10325,Lakeside Dealership,Certified Pre-Owned,Delivery,1,The delivery appointment was missed and I had to reschedule twice.
2026-01-14,Phone Follow-up,Luxury Buyer,DLR-CUST-10326,Lakeside Dealership,SUV,Website,4,The website made it easy to compare vehicles and calculate estimated payments.
2026-01-15,Email Survey,Luxury Buyer,DLR-CUST-10327,Lakeside Dealership,Sedan,Website,2,The payment calculator does not match the numbers provided by finance.
2026-01-16,Cars.com,Luxury Buyer,DLR-CUST-10328,Airport Auto Center,Truck,Website,3,"Online chat answered basic questions, but could not confirm real inventory."
2026-01-17,Facebook,Luxury Buyer,DLR-CUST-10329,Airport Auto Center,SUV,Website,1,I submitted a lead form and never received a response.
2026-01-18,Facebook,Luxury Buyer,DLR-CUST-10330,Airport Auto Center,Luxury SUV,Communication,5,Everyone followed up quickly and kept me informed during the purchase.
2026-01-19,Google Reviews,Budget Buyer,DLR-CUST-10331,Downtown Auto Mall,Hybrid,Communication,2,I received too many calls after asking to communicate by email only.
2026-01-20,Dealer Website,Budget Buyer,DLR-CUST-10332,Downtown Auto Mall,Luxury SUV,Communication,3,Communication was polite but inconsistent between sales and finance.
2026-01-21,Service Survey,Budget Buyer,DLR-CUST-10333,Downtown Auto Mall,Certified Pre-Owned,Communication,1,Nobody returned my voicemail about a warranty question.
2026-01-22,Cars.com,Budget Buyer,DLR-CUST-10334,Northside Motors,SUV,Warranty,4,The warranty options were explained clearly without pressure.
2026-01-23,Facebook,Budget Buyer,DLR-CUST-10335,Northside Motors,Sedan,Warranty,2,I was not told which warranty items were optional until the final paperwork.
2026-01-24,Google Reviews,Fleet Customer,DLR-CUST-10336,Northside Motors,Truck,Warranty,3,"Coverage seems good, but the exclusions should be easier to read."
2026-01-25,Email Survey,Fleet Customer,DLR-CUST-10337,West Valley Cars,Certified Pre-Owned,Cleanliness,5,The showroom was clean and the vehicle was spotless at pickup.
2026-01-26,Cars.com,Fleet Customer,DLR-CUST-10338,West Valley Cars,EV,Cleanliness,2,The used vehicle still had stains inside when I came for delivery.
2026-01-27,Facebook,Fleet Customer,DLR-CUST-10339,West Valley Cars,Certified Pre-Owned,Cleanliness,3,"The showroom was nice, but the service waiting area needs more seating."
2026-01-28,Cars.com,Fleet Customer,DLR-CUST-10340,Lakeside Dealership,Van,Customer Support,4,The receptionist quickly connected me to the right department.
2026-01-29,Facebook,Service Customer,DLR-CUST-10341,Lakeside Dealership,Luxury SUV,Customer Support,2,I was transferred three times before someone could answer my question.
2026-01-30,Google Reviews,Service Customer,DLR-CUST-10342,Lakeside Dealership,Luxury SUV,Customer Support,1,The support line disconnected twice while I was checking service status.
2026-01-31,Dealer Website,Service Customer,DLR-CUST-10343,Airport Auto Center,SUV,Customer Support,3,"Staff were friendly, but follow-up after purchase could be more proactive."
2026-02-01,Service Survey,Service Customer,DLR-CUST-10344,Airport Auto Center,Hybrid,Sales Experience,5,The sales advisor listened carefully and helped me compare trims without pressure.
2026-02-02,Phone Follow-up,Service Customer,DLR-CUST-10345,Airport Auto Center,Truck,Sales Experience,2,The salesperson kept pushing add-ons after I said I was not interested.
2026-02-03,Email Survey,Trade-in Customer,DLR-CUST-10346,Downtown Auto Mall,Hybrid,Sales Experience,3,"The test drive was helpful, but I waited too long before someone greeted me."
2026-02-04,Cars.com,Trade-in Customer,DLR-CUST-10347,Downtown Auto Mall,Luxury SUV,Sales Experience,4,The team explained the vehicle features clearly and made the buying process simple.
2026-02-05,Facebook,Trade-in Customer,DLR-CUST-10348,Downtown Auto Mall,Certified Pre-Owned,Financing,2,The final monthly payment was higher than what was discussed online.
2026-02-06,Google Reviews,Trade-in Customer,DLR-CUST-10349,Northside Motors,Certified Pre-Owned,Financing,1,Finance paperwork took almost three hours and several fees were not explained.
2026-02-07,Dealer Website,Trade-in Customer,DLR-CUST-10350,Northside Motors,SUV,Financing,4,The finance manager found a better rate than my bank and explained the terms well.
2026-02-08,Service Survey,First-time Buyer,DLR-CUST-10351,Northside Motors,SUV,Financing,3,"Loan options were presented clearly, but the wait for approval was too long."
2026-02-09,Dealer Website,First-time Buyer,DLR-CUST-10352,West Valley Cars,SUV,Pricing,2,The advertised price did not include mandatory dealer add-ons.
2026-02-10,Service Survey,First-time Buyer,DLR-CUST-10353,West Valley Cars,SUV,Pricing,1,I felt misled by the online price because the quote changed at the dealership.
2026-02-11,Phone Follow-up,First-time Buyer,DLR-CUST-10354,West Valley Cars,Certified Pre-Owned,Pricing,4,The price was fair and the final invoice matched the quote.
2026-02-12,Email Survey,First-time Buyer,DLR-CUST-10355,Lakeside Dealership,Certified Pre-Owned,Pricing,3,"Discounts were good, but the fee breakdown should be easier to understand."
2026-02-13,Google Reviews,Repeat Customer,DLR-CUST-10356,Lakeside Dealership,Certified Pre-Owned,Inventory,2,The car listed online was already sold when I arrived for my appointment.
2026-02-14,Dealer Website,Repeat Customer,DLR-CUST-10357,Lakeside Dealership,Van,Inventory,3,Inventory filters on the website are useful but some colors are listed incorrectly.
2026-02-15,Service Survey,Repeat Customer,DLR-CUST-10358,Airport Auto Center,SUV,Inventory,4,They had several trims available and helped me find the right configuration.
2026-02-16,Phone Follow-up,Repeat Customer,DLR-CUST-10359,Airport Auto Center,Van,Inventory,1,I drove across town for a vehicle that was marked available but unavailable in store.
2026-02-17,Phone Follow-up,Repeat Customer,DLR-CUST-10360,Airport Auto Center,SUV,Trade-in,2,The trade-in offer was much lower than the estimate I received online.
2026-02-18,Email Survey,Luxury Buyer,DLR-CUST-10361,Downtown Auto Mall,Hybrid,Trade-in,4,The appraisal was quick and the trade-in credit was clearly applied to my purchase.
2026-02-19,Cars.com,Luxury Buyer,DLR-CUST-10362,Downtown Auto Mall,Hybrid,Trade-in,3,"Trade-in inspection was fair, but I wanted more explanation about the valuation."
2026-02-20,Facebook,Luxury Buyer,DLR-CUST-10363,Downtown Auto Mall,EV,Trade-in,1,My trade-in quote changed twice during the same visit.
2026-02-21,Phone Follow-up,Luxury Buyer,DLR-CUST-10364,Northside Motors,Sedan,Service Department,5,Service was fast and the advisor sent updates while my car was being repaired.
2026-02-22,Email Survey,Luxury Buyer,DLR-CUST-10365,Northside Motors,Luxury SUV,Service Department,2,The repair took two days longer than promised and nobody called me.
